Moscou; 2; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Pension complète; 29/7/2023; 30/7/2023; -99; 21; 2; 0
Strasbourg; 4; Chambre; Donner des cours d anglais; Non fumeur, Pas d animaux; Blanchissage, Piscine, Wifi; Pas de transfert; Pension complète; 20/1/2023; 21/1/2023; -99; 3; 1; 2290
Draguignan; 6; Cabane dans un arbre; Babysitting, Donner des cours d anglais; Non fumeur; Parking, Balade à cheval; Transfert possible; Petit déjeuner; 2/11/2023; 11/11/2023; -99; 99; 3; 2291
Moscou; 5; Chambre; Jardinage; Non fumeur; Blanchissage, Wifi; Pas de transfert; Demi-pension; 16/5/2022; 20/5/2022; -99; 31; 2; 2292
Marseille; 5; Chambre; Donner des cours d anglais, Bricolage; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 20/6/2024; 30/6/2024; -99; 93; 2; 2293
Moscou; 3; Tente; Promener les chiens, Donner des cours d anglais; Non fumeur; Balade à cheval; Pas de transfert; Petit déjeuner; 7/8/2022; 8/8/2022; -99; 56; 2; 2294
Moscou; 3; Tente; Promener les chiens; ; Parking, Blanchissage, Wifi; Pas de transfert; Pension complète; 2/6/2022; 19/6/2022; -99; 14; 1; 2295
Seville; 3; Tente; Donner des cours d anglais; Non fumeur, Pas d animaux; Balade à cheval, Piscine; Pas de transfert; Demi-pension; 6/8/2022; 20/8/2022; -99; 48; 2; 2296
Chartres; 3; Cabane dans un arbre; Jardinage; Non fumeur, Pas d animaux; Parking, Blanchissage; Transfert possible; Petit déjeuner; 15/5/2023; 25/5/2023; -99; 15; 1; 2297
Chartres; 2; Chambre; Babysitting; Non fumeur; Wifi, Blanchissage, Parking; Pas de transfert; Pension complète; 30/11/2024; 31/12/2024; -99; 66; 2; 2298
Seville; 4; Cabane dans un arbre; Jardinage, Babysitting; Non fumeur, Pas d animaux; Wifi; Pas de transfert; Pension complète; 15/9/2024; 16/9/2024; -99; 32; 2; 2299
Avignon; 4; Cabane dans un arbre; Jardinage, Donner des cours d anglais; ; Wifi, Balade à cheval; Transfert possible; Petit déjeuner; 18/2/2024; 30/2/2024; -99; 55; 1; 2300
Moscou; 4; Cabane dans un arbre; Donner des cours d anglais, Babysitting; ; Parking, Piscine, Wifi; Pas de transfert; Pension complète; 25/7/2022; 26/7/2022; -99; 58; 3; 2301
Seville; 2; Cabane dans un arbre; Babysitting, Bricolage; ; Balade à cheval, Wifi; Transfert possible; Petit déjeuner; 11/7/2023; 12/7/2023; -99; 3; 3; 2302
Toulouse; 6; Chambre; Jardinage, Promener les chiens; Non fumeur; Blanchissage; Transfert possible; Petit déjeuner; 18/9/2023; 19/9/2023; -99; 14; 1; 2303
Draguignan; 2; Chambre; Bricolage, Jardinage; Non fumeur; Parking; Pas de transfert; Petit déjeuner; 22/1/2023; 23/1/2023; -99; 60; 3; 2304
Moscou; 2; Cabane dans un arbre; Jardinage, Promener les chiens; Pas d animaux, Non fumeur; Piscine; Pas de transfert; Petit déjeuner; 23/9/2023; 24/9/2023; -99; 8; 2; 2305
Berlin; 2; Cabane dans un arbre; Bricolage; Non fumeur; Balade à cheval, Blanchissage, Parking; Pas de transfert; Petit déjeuner; 9/11/2023; 10/11/2023; -99; 100; 1; 2306
Moscou; 3; Chambre; Promener les chiens; Non fumeur, Pas d animaux; Blanchissage; Transfert possible; Petit déjeuner; 30/4/2022; 31/5/2022; -99; 39; 2; 2307
Paris; 4; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux, Non fumeur; Parking; Transfert possible; Pension complète; 29/7/2022; 30/7/2022; -99; 28; 3; 2308
Draguignan; 4; Cabane dans un arbre; Promener les chiens, Babysitting; ; Blanchissage, Piscine; Pas de transfert; Pension complète; 14/11/2022; 15/11/2022; -99; 68; 2; 2309
Berlin; 3; Cabane dans un arbre; Donner des cours d anglais, Babysitting; ; Piscine, Blanchissage, Parking; Transfert possible; Pension complète; 29/8/2023; 30/8/2023; -99; 33; 1; 2310
Berlin; 2; Cabane dans un arbre; Babysitting, Jardinage; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Petit déjeuner; 21/3/2024; 22/3/2024; -99; 3; 1; 2311
Chartres; 4; Tente; Promener les chiens, Bricolage; Non fumeur; Blanchissage, Balade à cheval; Pas de transfert; Demi-pension; 4/7/2022; 8/7/2022; -99; 52; 2; 2312
Chartres; 6; Chambre; Jardinage; ; Piscine; Transfert possible; Pension complète; 27/8/2023; 28/8/2023; -99; 77; 3; 2313
Chartres; 3; Chambre; Bricolage, Babysitting; ; Wifi; Transfert possible; Demi-pension; 24/7/2024; 25/7/2024; -99; 13; 3; 2314
Avignon; 6; Chambre; Promener les chiens; ; Blanchissage; Pas de transfert; Petit déjeuner; 1/6/2022; 25/6/2022; -99; 11; 3; 2315
Draguignan; 5; Tente; Donner des cours d anglais; Non fumeur; Wifi, Balade à cheval; Pas de transfert; Pension complète; 15/11/2022; 16/11/2022; -99; 79; 1; 2316
Avignon; 2; Tente; Bricolage; ; Piscine, Balade à cheval, Parking; Transfert possible; Demi-pension; 11/2/2024; 12/2/2024; -99; 16; 1; 2317
Moscou; 5; Chambre; Babysitting; Pas d animaux, Non fumeur; Wifi; Transfert possible; Demi-pension; 7/2/2024; 24/2/2024; -99; 68; 1; 2318
Berlin; 3; Chambre; Bricolage, Jardinage; Pas d animaux, Non fumeur; Blanchissage, Wifi; Pas de transfert; Petit déjeuner; 12/5/2023; 13/5/2023; -99; 90; 1; 2319
Berlin; 4; Cabane dans un arbre; Jardinage, Babysitting; Pas d animaux, Non fumeur; Balade à cheval, Blanchissage, Wifi; Pas de transfert; Pension complète; 27/6/2024; 28/6/2024; -99; 60; 2; 2320
Marseille; 6; Chambre; Jardinage; Non fumeur; Parking, Balade à cheval; Transfert possible; Pension complète; 6/6/2022; 27/6/2022; -99; 42; 3; 2321
Moscou; 5; Tente; Bricolage, Donner des cours d anglais; Pas d animaux, Non fumeur; Blanchissage, Balade à cheval; Pas de transfert; Petit déjeuner; 27/9/2024; 31/9/2024; -99; 98; 1; 2322
Marseille; 5; Tente; Jardinage, Babysitting; Non fumeur; Piscine; Pas de transfert; Pension complète; 16/6/2024; 17/6/2024; -99; 88; 3; 2323
Avignon; 5; Chambre; Bricolage, Promener les chiens; ; Wifi, Piscine; Pas de transfert; Pension complète; 30/9/2024; 31/10/2024; -99; 70; 3; 2324
Chartres; 4; Cabane dans un arbre; Babysitting; Pas d animaux, Non fumeur; Wifi, Parking; Transfert possible; Petit déjeuner; 27/4/2022; 28/4/2022; -99; 63; 2; 2325
Seville; 5; Cabane dans un arbre; Babysitting, Bricolage; ; Parking, Balade à cheval; Pas de transfert; Petit déjeuner; 5/12/2023; 23/12/2023; -99; 94; 3; 2326
Paris; 6; Chambre; Donner des cours d anglais; ; Piscine; Pas de transfert; Petit déjeuner; 22/5/2023; 25/5/2023; -99; 29; 1; 2327
Toulouse; 6; Cabane dans un arbre; Donner des cours d anglais; ; Blanchissage, Piscine, Balade à cheval; Pas de transfert; Demi-pension; 16/7/2024; 17/7/2024; -99; 75; 2; 2328
Draguignan; 2; Tente; Babysitting; Non fumeur, Pas d animaux; Parking; Transfert possible; Pension complète; 10/11/2024; 22/11/2024; -99; 16; 3; 2329
Chartres; 5; Cabane dans un arbre; Jardinage, Bricolage; Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 31/8/2022; 32/8/2022; -99; 78; 3; 2330
Marseille; 3; Chambre; Promener les chiens, Bricolage; Non fumeur, Pas d animaux; Piscine, Blanchissage, Parking; Transfert possible; Demi-pension; 22/6/2023; 23/6/2023; -99; 79; 2; 2331
Seville; 5; Chambre; Babysitting, Bricolage; ; Piscine, Blanchissage, Wifi; Pas de transfert; Pension complète; 7/8/2024; 8/8/2024; -99; 74; 1; 2332
Berlin; 3; Cabane dans un arbre; Jardinage, Bricolage; Pas d animaux; Piscine; Pas de transfert; Petit déjeuner; 14/4/2022; 30/4/2022; -99; 61; 1; 2333
Avignon; 3; Tente; Donner des cours d anglais; ; Wifi, Piscine, Balade à cheval; Pas de transfert; Pension complète; 17/8/2023; 22/8/2023; -99; 3; 3; 2334
Toulouse; 6; Chambre; Promener les chiens; Non fumeur; Blanchissage; Pas de transfert; Demi-pension; 23/9/2022; 26/9/2022; -99; 3; 1; 2335
Chartres; 6; Tente; Jardinage, Babysitting; Non fumeur, Pas d animaux; Balade à cheval, Piscine, Blanchissage; Transfert possible; Demi-pension; 14/6/2022; 16/6/2022; -99; 46; 3; 2336
Paris; 3; Tente; Jardinage; Pas d animaux, Non fumeur; Parking, Balade à cheval, Blanchissage; Pas de transfert; Petit déjeuner; 18/3/2023; 19/3/2023; -99; 25; 1; 2337
Draguignan; 3; Cabane dans un arbre; Bricolage; Non fumeur, Pas d animaux; Blanchissage, Piscine, Parking; Pas de transfert; Demi-pension; 10/2/2023; 15/2/2023; -99; 47; 3; 2338
Moscou; 5; Cabane dans un arbre; Donner des cours d anglais, Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Piscine; Transfert possible; Demi-pension; 24/4/2022; 25/4/2022; -99; 75; 2; 2339
Marseille; 6; Tente; Donner des cours d anglais; ; Piscine, Wifi; Pas de transfert; Petit déjeuner; 18/6/2024; 19/6/2024; -99; 45; 1; 2340
Berlin; 4; Cabane dans un arbre; Babysitting, Donner des cours d anglais; ; Wifi; Pas de transfert; Petit déjeuner; 4/7/2023; 28/7/2023; -99; 28; 1; 2341
Moscou; 5; Chambre; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Wifi; Pas de transfert; Pension complète; 21/3/2024; 22/3/2024; -99; 20; 2; 2342
Draguignan; 6; Chambre; Jardinage; Non fumeur, Pas d animaux; Blanchissage; Transfert possible; Petit déjeuner; 17/4/2022; 31/4/2022; -99; 88; 1; 2343
Moscou; 6; Tente; Babysitting, Bricolage; ; Parking, Blanchissage; Transfert possible; Demi-pension; 5/12/2022; 25/12/2022; -99; 14; 2; 2344
Berlin; 4; Chambre; Bricolage, Donner des cours d anglais; Non fumeur; Balade à cheval, Parking; Pas de transfert; Pension complète; 19/1/2023; 20/1/2023; -99; 77; 2; 2345
Marseille; 3; Cabane dans un arbre; Jardinage; ; Blanchissage; Pas de transfert; Pension complète; 2/8/2024; 15/8/2024; -99; 91; 3; 2346
Seville; 5; Chambre; Bricolage; Pas d animaux, Non fumeur; Wifi, Parking; Pas de transfert; Petit déjeuner; 19/9/2023; 23/9/2023; -99; 24; 3; 2347
Marseille; 2; Chambre; Babysitting; Non fumeur, Pas d animaux; Piscine; Transfert possible; Petit déjeuner; 2/2/2024; 17/2/2024; -99; 63; 1; 2348
Berlin; 3; Chambre; Donner des cours d anglais, Promener les chiens; Non fumeur, Pas d animaux; Blanchissage, Piscine, Wifi; Pas de transfert; Pension complète; 30/4/2022; 31/5/2022; -99; 70; 2; 2349
Paris; 5; Tente; Donner des cours d anglais, Jardinage; ; Wifi, Balade à cheval; Transfert possible; Petit déjeuner; 11/7/2022; 12/7/2022; -99; 4; 1; 2350
Toulouse; 5; Cabane dans un arbre; Bricolage; ; Piscine, Parking; Pas de transfert; Pension complète; 18/9/2024; 22/9/2024; -99; 50; 1; 2351
Strasbourg; 5; Cabane dans un arbre; Babysitting, Bricolage; Non fumeur; Balade à cheval, Blanchissage, Wifi; Transfert possible; Pension complète; 14/5/2022; 15/5/2022; -99; 1; 3; 2352
Chartres; 2; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval, Piscine; Pas de transfert; Pension complète; 27/8/2024; 28/8/2024; -99; 20; 1; 2353
Marseille; 3; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Wifi, Piscine, Balade à cheval; Pas de transfert; Petit déjeuner; 13/1/2024; 14/1/2024; -99; 16; 3; 2354
Berlin; 4; Tente; Donner des cours d anglais; ; Wifi, Piscine, Balade à cheval; Pas de transfert; Petit déjeuner; 31/5/2024; 32/5/2024; -99; 54; 2; 2355
Berlin; 5; Cabane dans un arbre; Donner des cours d anglais, Jardinage; ; Wifi; Pas de transfert; Pension complète; 17/4/2023; 18/4/2023; -99; 63; 2; 2356
Berlin; 5; Cabane dans un arbre; Bricolage; ; Parking, Balade à cheval; Pas de transfert; Pension complète; 15/5/2022; 20/5/2022; -99; 90; 3; 2357
Moscou; 4; Cabane dans un arbre; Babysitting; ; Balade à cheval, Blanchissage, Wifi; Pas de transfert; Demi-pension; 7/12/2023; 8/12/2023; -99; 29; 2; 2358
Chartres; 5; Tente; Promener les chiens; ; Parking, Piscine, Balade à cheval; Transfert possible; Petit déjeuner; 23/8/2023; 24/8/2023; -99; 30; 1; 2359
Strasbourg; 3; Tente; Promener les chiens, Donner des cours d anglais; ; Wifi; Pas de transfert; Demi-pension; 14/7/2022; 15/7/2022; -99; 95; 2; 2360
Berlin; 4; Cabane dans un arbre; Bricolage, Jardinage; Pas d animaux; Balade à cheval, Wifi; Transfert possible; Pension complète; 16/1/2023; 17/1/2023; -99; 72; 1; 2361
Toulouse; 5; Cabane dans un arbre; Jardinage; ; Piscine, Balade à cheval, Wifi; Pas de transfert; Pension complète; 16/12/2023; 17/12/2023; -99; 90; 3; 2362
Draguignan; 2; Cabane dans un arbre; Babysitting, Promener les chiens; Pas d animaux; Balade à cheval, Wifi, Parking; Transfert possible; Pension complète; 15/12/2023; 16/12/2023; -99; 86; 1; 2363
Chartres; 2; Chambre; Jardinage, Promener les chiens; Non fumeur, Pas d animaux; Piscine; Transfert possible; Demi-pension; 25/1/2024; 31/1/2024; -99; 50; 3; 2364
Berlin; 4; Chambre; Promener les chiens, Bricolage; Pas d animaux; Piscine, Parking; Pas de transfert; Demi-pension; 11/5/2022; 31/5/2022; -99; 31; 3; 2365
Seville; 5; Tente; Promener les chiens, Bricolage; ; Balade à cheval, Parking; Pas de transfert; Petit déjeuner; 31/8/2022; 32/8/2022; -99; 12; 3; 2366
Moscou; 4; Chambre; Donner des cours d anglais, Babysitting; ; Blanchissage, Balade à cheval, Piscine; Pas de transfert; Petit déjeuner; 27/12/2023; 28/12/2023; -99; 43; 1; 2367
Paris; 3; Cabane dans un arbre; Babysitting, Jardinage; Non fumeur; Wifi, Blanchissage, Piscine; Transfert possible; Demi-pension; 10/12/2023; 11/12/2023; -99; 32; 3; 2368
Moscou; 2; Tente; Jardinage, Babysitting; ; Parking, Balade à cheval; Transfert possible; Pension complète; 1/9/2024; 9/9/2024; -99; 22; 3; 2369
Avignon; 3; Tente; Promener les chiens; Non fumeur; Piscine; Pas de transfert; Petit déjeuner; 28/2/2024; 29/2/2024; -99; 32; 1; 2370
Berlin; 3; Tente; Bricolage; Non fumeur; Parking, Piscine, Balade à cheval; Pas de transfert; Demi-pension; 15/9/2022; 16/9/2022; -99; 54; 2; 2371
Toulouse; 5; Chambre; Babysitting, Jardinage; Pas d animaux; Balade à cheval, Parking, Wifi; Pas de transfert; Pension complète; 24/4/2023; 25/4/2023; -99; 41; 2; 2372
Moscou; 3; Chambre; Jardinage; Pas d animaux; Piscine, Balade à cheval; Pas de transfert; Petit déjeuner; 2/9/2024; 13/9/2024; -99; 38; 1; 2373
Seville; 4; Chambre; Babysitting; Pas d animaux, Non fumeur; Balade à cheval, Wifi, Blanchissage; Transfert possible; Petit déjeuner; 18/6/2022; 19/6/2022; -99; 98; 1; 2374
Paris; 4; Cabane dans un arbre; Babysitting; Pas d animaux; Piscine; Transfert possible; Pension complète; 11/8/2024; 12/8/2024; -99; 6; 1; 2375
Seville; 4; Tente; Promener les chiens, Babysitting; Non fumeur; Blanchissage; Transfert possible; Petit déjeuner; 30/4/2023; 31/5/2023; -99; 29; 1; 2376
Berlin; 5; Chambre; Donner des cours d anglais; ; Piscine; Transfert possible; Petit déjeuner; 14/1/2024; 16/1/2024; -99; 91; 3; 2377
Chartres; 4; Tente; Promener les chiens; Pas d animaux; Balade à cheval; Pas de transfert; Demi-pension; 30/4/2022; 31/5/2022; -99; 96; 1; 2378
Avignon; 6; Tente; Donner des cours d anglais, Bricolage; ; Piscine, Blanchissage, Wifi; Pas de transfert; Pension complète; 2/4/2024; 14/4/2024; -99; 16; 3; 2379
Paris; 6; Tente; Jardinage, Babysitting; Pas d animaux, Non fumeur; Piscine, Balade à cheval, Wifi; Pas de transfert; Demi-pension; 29/4/2023; 30/4/2023; -99; 84; 1; 2380
Moscou; 6; Tente; Donner des cours d anglais, Promener les chiens; ; Wifi, Parking; Transfert possible; Pension complète; 17/2/2023; 31/2/2023; -99; 12; 1; 2381
Chartres; 3; Tente; Donner des cours d anglais, Bricolage; ; Balade à cheval, Parking, Blanchissage; Transfert possible; Pension complète; 24/9/2022; 30/9/2022; -99; 1; 3; 2382
Avignon; 5; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval, Piscine, Blanchissage; Pas de transfert; Demi-pension; 3/9/2024; 23/9/2024; -99; 71; 2; 2383
Avignon; 2; Cabane dans un arbre; Babysitting; Pas d animaux, Non fumeur; Parking, Blanchissage, Piscine; Transfert possible; Pension complète; 7/4/2024; 8/4/2024; -99; 43; 3; 2384
Chartres; 5; Cabane dans un arbre; Jardinage, Promener les chiens; Non fumeur; Wifi, Balade à cheval, Piscine; Pas de transfert; Pension complète; 25/10/2022; 26/10/2022; -99; 5; 1; 2385
Seville; 2; Tente; Promener les chiens, Donner des cours d anglais; ; Piscine, Wifi, Balade à cheval; Pas de transfert; Pension complète; 13/7/2022; 14/7/2022; -99; 79; 2; 2386
Toulouse; 6; Chambre; Babysitting; Non fumeur; Wifi, Blanchissage, Piscine; Pas de transfert; Pension complète; 13/3/2023; 14/3/2023; -99; 67; 3; 2387
Draguignan; 3; Cabane dans un arbre; Jardinage, Bricolage; Pas d animaux, Non fumeur; Blanchissage, Parking; Pas de transfert; Demi-pension; 4/9/2022; 14/9/2022; -99; 63; 2; 2388
Moscou; 5; Chambre; Bricolage; ; Wifi, Parking, Balade à cheval; Transfert possible; Petit déjeuner; 6/1/2024; 30/1/2024; -99; 64; 2; 2389
Strasbourg; 5; Chambre; Bricolage, Babysitting; Pas d animaux; Wifi, Blanchissage; Transfert possible; Pension complète; 5/12/2024; 29/12/2024; -99; 41; 3; 2390
Avignon; 5; Tente; Babysitting; ; Blanchissage, Wifi, Balade à cheval; Pas de transfert; Petit déjeuner; 4/3/2024; 24/3/2024; -99; 10; 1; 2391
Moscou; 6; Chambre; Jardinage; ; Parking, Balade à cheval, Blanchissage; Transfert possible; Petit déjeuner; 6/7/2022; 29/7/2022; -99; 18; 2; 2392
Draguignan; 6; Cabane dans un arbre; Jardinage, Bricolage; Non fumeur, Pas d animaux; Piscine, Wifi; Pas de transfert; Petit déjeuner; 18/4/2023; 19/4/2023; -99; 73; 2; 2393
Draguignan; 4; Tente; Babysitting, Donner des cours d anglais; Non fumeur; Wifi, Blanchissage, Balade à cheval; Pas de transfert; Petit déjeuner; 21/5/2022; 22/5/2022; -99; 42; 1; 2394
Moscou; 6; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Piscine, Wifi, Balade à cheval; Pas de transfert; Demi-pension; 27/12/2023; 28/12/2023; -99; 67; 1; 2395
Moscou; 6; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Piscine, Blanchissage, Wifi; Pas de transfert; Pension complète; 16/8/2023; 28/8/2023; -99; 87; 1; 2396
Strasbourg; 3; Cabane dans un arbre; Donner des cours d anglais; Non fumeur, Pas d animaux; Wifi; Transfert possible; Demi-pension; 1/6/2022; 20/6/2022; -99; 75; 3; 2397
Draguignan; 3; Chambre; Bricolage; Pas d animaux; Parking; Transfert possible; Demi-pension; 25/9/2022; 26/9/2022; -99; 1; 3; 2398
Draguignan; 5; Tente; Promener les chiens, Bricolage; Pas d animaux; Piscine; Pas de transfert; Pension complète; 12/11/2023; 16/11/2023; -99; 80; 3; 2399
Paris; 3; Cabane dans un arbre; Bricolage, Donner des cours d anglais; ; Wifi; Pas de transfert; Pension complète; 3/11/2024; 9/11/2024; -99; 38; 1; 2400
Toulouse; 4; Cabane dans un arbre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Parking, Blanchissage; Pas de transfert; Petit déjeuner; 27/11/2023; 28/11/2023; -99; 87; 2; 2401
Draguignan; 2; Tente; Promener les chiens; Non fumeur; Piscine, Blanchissage, Balade à cheval; Transfert possible; Petit déjeuner; 30/1/2023; 31/1/2023; -99; 16; 3; 2402
Draguignan; 2; Tente; Promener les chiens, Babysitting; ; Wifi, Blanchissage; Transfert possible; Demi-pension; 20/1/2023; 24/1/2023; -99; 28; 1; 2403
Avignon; 2; Cabane dans un arbre; Bricolage; Non fumeur, Pas d animaux; Blanchissage, Balade à cheval; Pas de transfert; Demi-pension; 24/2/2024; 28/2/2024; -99; 100; 1; 2404
Chartres; 4; Chambre; Bricolage; Pas d animaux, Non fumeur; Wifi, Piscine; Pas de transfert; Demi-pension; 13/7/2022; 14/7/2022; -99; 82; 2; 2405
Paris; 3; Tente; Jardinage, Promener les chiens; Pas d animaux, Non fumeur; Piscine; Pas de transfert; Petit déjeuner; 4/11/2022; 5/11/2022; -99; 57; 3; 2406
Draguignan; 4; Cabane dans un arbre; Babysitting, Bricolage; Pas d animaux; Parking, Wifi, Blanchissage; Pas de transfert; Petit déjeuner; 31/12/2023; 32/12/2023; -99; 35; 3; 2407
Chartres; 3; Chambre; Donner des cours d anglais, Bricolage; Non fumeur; Wifi, Blanchissage; Pas de transfert; Petit déjeuner; 29/3/2023; 30/3/2023; -99; 24; 3; 2408
Strasbourg; 2; Chambre; Jardinage; Pas d animaux; Balade à cheval, Piscine; Pas de transfert; Petit déjeuner; 29/10/2022; 30/10/2022; -99; 44; 3; 2409
Marseille; 4; Chambre; Bricolage; Pas d animaux, Non fumeur; Wifi, Piscine, Balade à cheval; Pas de transfert; Pension complète; 29/10/2023; 30/10/2023; -99; 61; 2; 2410
Toulouse; 2; Chambre; Bricolage; Non fumeur, Pas d animaux; Balade à cheval, Blanchissage, Piscine; Transfert possible; Pension complète; 4/8/2024; 5/8/2024; -99; 83; 3; 2411
